Recipient Organization,recipientcodename
RECSASEC - Regional Centre on Small Arms and Light Weapons,private individual organisations
Red Crescent Society of Azerbaijan,red cross
Red Crescent Society of Djibouti,red cross
Red Crescent Society of Kyrgyzstan,red cross
Red Crescent Society of Tajikistan,red cross
Red Crescent Society of the Islamic Republic of Iran,red cross
Red Crescent Society of the United Arab Emirates,red cross
Red Crescent Society of Uzbekistan,red cross
Red Cross,red cross
Red Cross of Cape Verde,red cross
Red Cross of Chad,red cross
Red Cross of Monaco,red cross
Red Cross of Montenegro,red cross
Red Cross of Serbia,red cross
Red Cross of Serbia,red cross
Red Cross of the Democratic Republic of the Congo,red cross
"Red Cross of The Former Yugoslav Republic of Macedonia, The",red cross
"Red Cross of The Former Yugoslav Republic of Macedonia, The",red cross
Red Cross of Viet Nam,red cross
Red Cross Society of Bosnia and Herzegovina,red cross
Red Cross Society of China,red cross
Red Cross Society of Georgia,red cross
Red Cross Society of Niger,red cross
Red Cross Society of Panama,red cross
Red Cross Society of the Democratic People's Republic of Korea,red cross
Red Cross Society of the Republic of Moldova,red cross
Red R,NGOs
REDOG,other
RedR,NGOs
RedR UK,red cross
Refugee Education Trust,NGOs
Refugee Studies Centre,academia/think/research
Refugee Trust,NGOs
Refugees InterNational,NGOs
Regence Foundation,foundations
Regional Centre Small Arms Light Weapons,private individual organisations
Regional Govt of Lambayeque (Peru),NDD
Regnskogfondet,foundations
Rehabilitation and Research Centre for Torture Victims,NGOs
Rehabilitation InterNational,NGOs
Relationships Foundation InterNational,foundations
Relief and Recovery Unit - Zimbabwe,UN Multi
Relief InterNational,NGOs
Religiosas de Jesus-Maria,private individual organisations
Religiosas Franciscanas Mision,private individual organisations
Religiosas Hermanas Terciarias,private individual organisations
Remedial English and Science Course Centre,academia/think/research
Reporters Sans Frontières,NGOs
Reprise de Justesse,NGOs
Republic of Korea National Red Cross,red cross
Republic of South Sudan,NDD
Rescue South Africa,NGOs
Research Council of Norway,academia/think/research
Reseau des Entrepreneurs Solidaires,other
Resident Coordinators Support Office,UN Multi
Response InterNational,NGOs
Responsive,other
REST - Relief Society of Tigray,NGOs
RESTART,private sector corporations
Results Japan,other
Reunion,other
Reynolds American Foundation,foundations
RHA,private sector corporations
Richard and Susan Smith Family Foundation,foundations
Right to Live Society,NGOs
Right to Play,NGOs
Ripley,private sector corporations
Risk and Insurance Management Society,private individual organisations
Rissho Koseikai,private individual organisations
Rite Aid,private sector corporations
Riverine Relief Program,private individual organisations
Riverside Technologies Inc.,private sector corporations
RKV - Flemish Red Cross,red cross
RMS Foundation,private sector corporations
Rockefeller Foundation,foundations
Rockwell Collins,private sector corporations
Roddick Foundation,foundations
ROFI Industrier AS,private sector corporations
Rogers Communications,private sector corporations
ROKPA,NGOs
ROLEX,private sector corporations
Romania,NDD
Romania Red Cross,red cross
Romanian Red Cross,red cross
Ronald McDonald House Charities,NGOs
RONCO Consulting Corporation,private sector corporations
Root of Grass,other
ROPKA InterNational,NGOs
Rosalia Hoog,other
Roshni Development Organization,NGOs
"Ross Stores, Inc.",private sector corporations
ROSSAIR,private sector corporations
Rotary Club of Shanghai,NGOs
Rotary Fiji,private individual organisations
Rotary InterNational,NGOs
Rothschild Estates,private sector corporations
Roy A. Hunt Foundation,foundations
Royal Bank of Canada,private sector corporations
Royal Caribbean InterNational,private sector corporations
Royal Danish Embassy - Jakarta,DAC governments
Royal Danish Representative Office in Colombo,DAC governments
Royal Health Awareness Society,NGOs
RTI,other
Ruedi Leuppi Stiftung Elfenbeinküste,foundations
Rufaid Health Foundation,foundations
Rufaida Health Foundation,foundations
Rumänienhilfe Liebenau,NGOs
Rumänienhilfe Schärding,NGOs
Rural Agency for Community Development and Assistance,NGOs
Rural Capacities Development Committee,other
Rural Centre for Sustainable Development,other
Rural Development Foundation,foundations
Rural Development Initiative,private individual organisations
Rural Development Project,private individual organisations
Rural Empowerment and Institutional Development,other
Rural Focus,NGOs
Rural Reconstruction Nepal,academia/think/research
Rural Support Programmes Network,other
Rural Water and Sanitation Support Agency,other
Russia Red Cross,red cross
Russian Federation,NDD
Russian Red Cross Society,red cross
Rwanda,NDD
Rwanda Red Cross ,red cross
Rwandan Red Cross ,red cross
RWSSP,private individual organisations
SAACID,NGOs
Sabou Guinee,NGOs
Sad Africa,NGOs
Sada Al Irak Organisation,NGOs
SADRI,other
SAF - Science and Arts Foundation,foundations
Safa Marwa Relief and Development Organization,other
SaferAfrica,NGOs
Saferworld,NGOs
Safeway Inc,private sector corporations
SAFRA Edmond J. Philanthropic Foundation,foundations
Saga Falabella,private sector corporations
Sage Organisation,NGOs
Sagric InteNational Pty Ltd,private sector corporations
SAH - Schweizerisches Arbeiterhilfswerk,NGOs
Sahkar Dost Welfare Association,NGOs
SAIH - Studentenes og Akademikernes Internasjonale Hjelpefond,private individual organisations
Saint Barbara Foundation,foundations
Saint Lucia,NDD
Saint Vincent and the Grenadines,NDD
SALAM YA SUGHAR FUND,NGOs
Salama Medical Agency,private sector corporations
Salesian Missions,private individual organisations
Salvadorean Red Cross Society,red cross
Salvation Army,NGOs
SAM - Schweizer Allianz Mission,NGOs
SAM - Schweizer Allianz Mission ,NGOs
Sama Al-Yemen Development Foundation,NGOs
Samaritan's Purse,NGOs
Samenwerkende Hulporganisaties,NGOs
Samerådet,other
Sametinget,other
Samir Kassir Foundation,foundations
Samis,other
Samisk Høgskole,academia/think/research
Samoa,NDD
Samoa Red Cross,red cross
Samoa Red Cross Society,red cross
Samsung Group,private sector corporations
Samusocial Peru,NGOs
San Diego Foundation,foundations
San Marino,NDD
San Remo Institute for Humanitarian Law,academia/think/research
SANAD Charity Foundation,NGOs
SANAR YURDATAPAN  - FEA,other
Sangtani Women Rural Development Organization,NGOs
Sanitary of Epidemiological Station,other
SANOFI,private sector corporations
Santa Isabel Market,private sector corporations
Santé Diabète,NGOs
Santé Mali Rhône Alpes,NGOs
Santé pour le Développement et la Stabilité d’Haïti,NGOs
Sante Sud,NGOs
Sant''Egidio,other
Sarhad Rural Support Programme,NGOs
Sarvodaya Shramadana Movement,NGOs
Sath Development Organization,NGOs
Satunama,NGOs
Saude em Portugues,NGOs
Saúde em Português,NGOs
Saudi Arabia (Kingdom of),NDD
Saudi Arabian Red Crescent Society,red cross
Saudi Committee,NDD
Saudi Public Campaign for Lebanon and Palestine,other
Saudi Red Crescent ,red cross
Save and Serve,NGOs
Save Somali Women & Children,NGOs
Save the Children ,NGOs
Save the Children - Canada,NGOs
Save the Children - Denmark,NGOs
Save the Children - France,NGOs
Save the Children - Japan,NGOs
Save the Children - Netherlands,NGOs
Save the Children - Norway,NGOs
Save the Children - Sri Lanka,NGOs
Save the Children - Sweden,NGOs
Save the Children - Uganda,NGOs
Save the Children - United Kingdom,NGOs
Save the Children - USA,NGOs
Save the Children Alliance,NGOs
Save the Children Federaton Inc.,NGOs
"Save the Children, Youths and Women Organization",NGOs
Sawaid Health Organization,NGOs
SC - Caritas,NGOs
SC/US and World Vision,other
SCA Tissue,private sector corporations
Scanagri,private sector corporations
Scandinavian Children's Mission ,NGOs
SCD-RB,other
Schering-Plough Corporation,private sector corporations
Schools Association for Formal Education,other
Schulte Roth & Zabel LLP,private sector corporations
SCO,Other multi
SCOR Group,private sector corporations
Scotiabank,private sector corporations
Scottish Catholic InterNational Aid Fund,NGOs
Scottish Executive,NDD
Scottrade,private sector corporations
SDW,other
Search for Common Ground,NGOs
Seattle Foundation,foundations
Second Harvest Japan,private individual organisations
SECONRED,other
Secours Catholique et Développement,NGOs
Secours Islamique,NGOs
Secours Islamique France,NGOs
Secours Populaire Francais,NGOs
Sécurité civile,NGOs
Sedec-Hudec,other
Seeds of Peace,NGOs
Seestern e.V.,NGOs
Seestern e.V.,NGOs
"Seismic Research Unit, Univ. of West Indies",academia/think/research
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,other
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,other
Self Employment Womens' Association,NGOs
Sempra Energy Foundation,foundations
Senegal,NDD
Senter for Krisepsykologi,academia/think/research
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",academia/think/research
Sentinelles,other
Seobu Annual Conference of the KMC,other
Serbia ,NDD
Serbia and Montenegro,NDD
Serbia and Montenegro Red Cross,red cross
Serve Pastoralist International,NGOs
Service Health Relief Development Organization,private individual organisations
SERVICE INT. POUR LES DROITS DE L HOMME,other
SERVICE plus GMBH,private sector corporations
Service Social InterNational  ,NGOs
SERVICIO PAZ Y JUSTICIA,other
SES World Skies,private sector corporations
SE-SINAPRED,other
Sewa Development Trust Sindh,other
Sewa Lanka Foundation,foundations
Sewalanka,NGOs
Seychelles,NDD
Seychelles Red Cross,red cross
Seychelles Red Cross Society,red cross
Seylan Bank Limited,private sector corporations
Sezam,NGOs
SFCG/RDC,NGOs
SHA/National Autonomous University of Nicaragua,academia/think/research
SHA/NRE,other
Shah Sachal Sami Foundation,NGOs
Shahrukhi Rehabilitation Project,NGOs
Shaik Abdallah Nouri Association,NGOs
SHAML - Palestinian Diaspora and Refugee Center ,NGOs
Shanti Volunteer Association,NGOs
Sharaja,other
SHARE,other
Share Association of Guatemala,other
Share our Strength,private individual organisations
Sharek Youth Forum ,NGOs
Sharjah Charity House,private individual organisations
Sharukhi Rehabilitation Project,other
Sharukhi Rehabilitation Project ,other
Sheikh Mohammad Shami Foundation,foundations
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,foundations
Shell Nigeria,private sector corporations
Shell Oil Company,private sector corporations
Shelter Centre,other
Shelter for Life,NGOs
Shelter Now InterNational ,NGOs
ShelterBox,NGOs
Sheraton Hotel,private sector corporations
Sherrit,private sector corporations
Shifa Foundation,foundations
SHIFT,private sector corporations
Shilale Rehabilitation and Ecological Concern,NGOs
Shining Future Humanitarian Organization,NGOs
Shining Light Community Development Organization,NGOs
Shinnyo-en,private individual organisations
Shinnyo-en ,private individual organisations
"Shionogi & Co., Ltd",private sector corporations
Shionogi Pharma Inc.,private sector corporations
Shipman & Goodwin LLP,private sector corporations
Sibro,other
Siemens AG,private sector corporations
Siemens Water Technologies,private sector corporations
Sierra Leone,NDD
SIF-France,private sector corporations
SIG - Canton's Industrial Services - Geneve (CH),other
Sign of Hope,NGOs
Silicon Valley Community Foundation,foundations
SIM Canada,NGOs
Sindh Agriculture and Forestry Workers Cooperation Organization,private individual organisations
Sindh Radiant Organisation,private individual organisations
Singapore,NDD
Singapore InterNational Foundation,foundations
Singapore Red Cross,red cross
Singapore Red Cross Society,red cross
SIPRI,academia/think/research
Siriri,other
Sivilombudsmannen,DAC governments
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",private sector corporations
Skanska,private sector corporations
Skeiv Solidaritet,NGOs
Skills Active Forward,NGOs
SKUPAJ,foundations
SkyLink,private sector corporations
Slavik,other
Slovak Red Cross,red cross
Slovakia,DAC governments
Slovenia,DAC governments
Slovenian Red Cross,red cross
Small Arms Survey,academia/think/research
SMU - Strategic Monitoring Unit (Afghanistan),UN Multi
SNG,other
Social and Humanitarian Assistance Organization,other
Social Economical Environmental Developers ,other
Social Humanitarian Economical Intervention for Local Development,NGOs
Social Impact,NGOs
Social Life and Agricultural Development Organisation,NGOs
Social Solidarity Organisation,private individual organisations
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs
Société Algérienne de Recherche en Psychologie,academia/think/research
"Société Axis, Centre orthopédique d'Assomption",NGOs
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs
"Société Générale de Solidarité, S.A.",foundations
Société Kolping,NGOs
Society Development Initiative Organization,private individual organisations
Society for Awareness and Change,other
Society for Community Development,NGOs
Society for Conservation and Protection of Environment,private individual organisations
Society for Human and Institutional Development,NGOs
Society for Humanitarian Solidarity,NGOs
"Society for Skills, Trainings & Development",other
Society for Sustainable Development,other
